orthography	oi_nom	oi_gen	stem	gender	status	kind	source	note
abhainn	aub	abae	n	f	attested		https://en.wiktionary.org/wiki/aub#Old_Irish	labelled feminine n-stem with irregular hybridization (neuter n-stem forms interfere); modern abhainn was originally dative singular of abha
adharc	adarc	adarcae	ā	f	attested		https://en.wiktionary.org/wiki/adarc#Old_Irish ; https://en.wiktionary.org/wiki/adharc	feminine ā-stem; alt variant OI aiderc also cited
Ailbhe	Ailbe			m	attested		https://en.wikipedia.org/wiki/Ailbe_of_Emly	unattested: stem class not shown in sources consulted; 9th-century monastic Rule of Ailbe, written in Old Irish, bears his name; genitive unattested
ainm	ainmm	anmae	n	n	attested		https://en.wiktionary.org/wiki/ainmm#Old_Irish ; https://en.wiktionary.org/wiki/ainm	neuter n-stem
Ainmire	Ainmire	Ainmirech	velar	m	attested		digest §10.6	velar stem; no distinct modern spelling, key = OI form
airgead	argat	argait	o	n	attested		https://en.wiktionary.org/wiki/argat#Old_Irish	no plural attested
Alba	Albu	Alban	n	f	attested		digest §10.6 ; strachan1909 p.15	n-stem
Aldfrith	Aldfrith			m	attested		digest §10.6	unattested: stem class not shown in sources consulted; Anglo-Saxon name current in Old Irish sources; genitive unattested in sources consulted
an-					none	late	https://en.wiktionary.org/wiki/an-	prefix, not a noun; the OI 'an-' entries on Wiktionary are negative/privative prefixes and a directional 'apart' prefix, not the intensive one; no attested OI ancestor found for the Modern Irish intensive an-
Anblamath	Anblamath	Anfolmithe		m	attested		digest §10.6	unattested: stem class not shown in sources consulted; stem class not stated in the digest; from Primitive Irish Anavlamattias
Anu	Anu	Anann	n	f	attested		digest §10.6	n-stem
Aodhán	Aédán			m	attested		https://en.wiktionary.org/wiki/Aodh%C3%A1n	unattested: stem class not shown in sources consulted; Etymology: "From Old Irish Aédán"; no dedicated Old Irish lemma page with declension was found, so genitive/stem unattested in sources consulted
Aoibheann	Aíbinn			f	attested		https://en.wikipedia.org/wiki/Aoibheann	unattested: stem class not shown in sources consulted; explicit "Old Irish: Aíbinn" label; genitive unattested
Aoife	Aífe			f	attested		https://en.wiktionary.org/wiki/Aoife	unattested: stem class not shown in sources consulted; Etymology: "From Old Irish Aífe"; no dedicated Old Irish lemma page with declension was found (the linked Aífe#Old_Irish section does not currently exist), so genitive/stem unattested in sources consulted
aon	óen				attested		https://en.wiktionary.org/wiki/aon	no nominal paradigm: numeral; numeral
Aonghus	Oíngus	Oíngusa	u	m	attested		https://en.wiktionary.org/wiki/O%C3%ADngus	
ard	ard		o		attested		https://en.wiktionary.org/wiki/ard	no nominal paradigm: adjective; adjective, o/ā class; inflects by agreement (also attested as a neuter o-stem noun "ard", genitive aird)
ard-	ard		o		attested		https://en.wiktionary.org/wiki/ard-	no nominal paradigm: prefix; prefix, not a noun; the prefix page's own etymology only derives ard- synchronically from Modern Irish ard; that base word ard is itself an attested OI o/ā-stem adjective/noun "ard"
