source_lang,source_form,source_ipa,target_form,target_ipa,process,provenance,note
tur,nöbetçi (via Tk.),,nabatši,nabatʃi,substitution;vowel,ema1958 §17,emphatics unmarked in source; Tk. affricate ç -> ʃ
tur,nöbetçi,,nobatši,nobatʃi,substitution,ema1958 §17,emphatics unmarked in source
tur,makwagi (Tk. -ǧi agent suffix),,makwagi,makwagi,none,ema1958 §5,emphatics unmarked in source; agent noun in -gi
tur,(?agzagi 'pharmacist'),,?agzagi,ʔagzagi,substitution,ema1958 §5,"emphatics unmarked in source; obsolescent, displaced by sajdali"
ita,pizza,,bitsa,bitsa,substitution,ema1958 §5,emphatics unmarked in source; p -> b
ita,pizza,,betsa,betsa,substitution;vowel,ema1958 §22,emphatics unmarked in source
ita,pizza,,bedza,bedza,substitution;vowel,ema1958 §22,emphatics unmarked in source; ts -> dz: both members voiced
spa,salsa,,çâlsâ,sˤɑlsɑ,substitution,ema1958 §5,"emphatics unmarked in source EXCEPT this one: the source prints ç, mojibake for emphatic s-dot; decoded as /sˤ/, same as bââçâ 'pass'"
ita,teatro,,tijatru,tijatru,substitution;glide,ema1958 §5,"emphatics unmarked in source; obsolescent, displaced by mâsrâh"
eng,hospital,,?esbetalja,ʔesbetalja,epenthesis;substitution;glide,ema1958 §5,"emphatics unmarked in source; obsolescent, displaced by mostašfa"
fra,trottoir,,talletwââr,talletwɑːr,gemination;substitution;length,ema1958 §5,"emphatics unmarked in source; obsolescent, displaced by râsiif"
fra,manoeuvre,,monâwrâ,monɑwrɑ,substitution;vowel,ema1958 §5,emphatics unmarked in source; v -> w
eng,workshop,,warsa,warsa,deletion,ema1958 §5,emphatics unmarked in source; syllable omission + fem. -a; also warša §46
ita,musica / fra musique,,musiiqâ,musiːqɑ,substitution;length,ema1958 §5,emphatics unmarked in source; k -> q
fra,medaille,,medalja,medalja,glide,ema1958 §8,emphatics unmarked in source; free variant of madelja
fra,medaille,,madelja,madelja,glide;vowel,ema1958 §8,emphatics unmarked in source
eng,lamp,,lâmbâ,lɑmbɑ,substitution,ema1958 §8,emphatics unmarked in source; least integrated; pl lâmbâât
eng,lamp,,lâmdâ,lɑmdɑ,substitution,ema1958 §8,emphatics unmarked in source; pl lomâd
eng,lamp,,lândâ,lɑndɑ,substitution,ema1958 §8,emphatics unmarked in source; most integrated; pl lonâd
fra,cravate,,gârâfâttâ,gɑrɑfɑttɑ,substitution;epenthesis;gemination,ema1958 §8,"emphatics unmarked in source; k->g, v->f"
fra,cravate,,kârâfâttâ,kɑrɑfɑttɑ,substitution;epenthesis;gemination,ema1958 §8,emphatics unmarked in source; v->f
fra,cravate,,kârâvâttâ,kɑrɑvɑttɑ,epenthesis;gemination,ema1958 §8,emphatics unmarked in source; v kept
fra,cravate,,kârâvât,kɑrɑvɑt,epenthesis,ema1958 §8,emphatics unmarked in source
fra,cravate,,kravat,kravat,none,ema1958 §8,emphatics unmarked in source; least integrated: initial cluster kept
fra,pantalon,,bântâloon,bɑntɑloːn,substitution;length,ema1958 §14,emphatics unmarked in source; p->b initial; t -> emphatic
