source_lang,source_form,source_ipa,target_form,target_ipa,process,provenance,note
eng,to tape,tu: teɪp,tapen,tep,vowel;substitution,loan-vandijk-toename p.24,eng /eɪ/ > nl /e/ (A-class monophthong); score 3
eng,to tape,tu: teɪp,aftapen,ɑftep,vowel;substitution,loan-vandijk-toename p.24,with native prefix af-
eng,to fake,tu: feɪk,faken,fekə,vowel;substitution,loan-vandijk-toename p.32,/eɪ/ > /e/ + native infinitive -en [ə]
eng,race,reɪs,race,res,vowel,loan-vandijk-toename p.32,/eɪ/ > /e/; score 3
eng,show,ʃoʊ,show,ʃo,vowel,loan-vandijk-toename p.25,/oʊ/ > /o/
eng,to download,tu: daʊnloʊd,down te loaden,dɑun tə lodə,vowel;devoicing,loan-vandijk-toename p.24,/oʊ/>/o/; separable-verb morphology imposed
eng,porno,'pɔ:noʊ,porno,'pɔrno,vowel;length,loan-vandijk-toename p.24,/ɔ:/ > B-class /ɔ/ + /r/ restored from spelling
eng,jackpot,dʒækpɒt,jackpot,dʒɛkpɔt,substitution;vowel,loan-vandijk-toename p.33,"/æ/>/ɛ/, /ɒ/>/ɔ/"
eng,slash,slæʃ,slash,slɛʃ,substitution,loan-vandijk-toename p.33,/æ/>/ɛ/
eng,headset,hedset,headset,hɛ:tsɛt,devoicing,loan-vandijk-toename p.27,/d/>[t] syllable-finally
eng,skills,skɪlz,rapskills,rɛpskɪlz,none,loan-vandijk-toename p.28,donor column gives only *skills* /skɪlz/; the *rap-* half is not in the source and cannot attest a mapping
eng,happy single,'hæpi 'sɪŋɡl,happy single,hɛpi sɪŋɡəl,substitution;epenthesis,loan-vandijk-toename p.26,/æ/>/ɛ/; syllabic /l/ > /əl/
eng,fuck,'fʌk,fack,'fɑk,substitution,loan-vandijk-toename p.27,/ʌ/ > /ɑ/
eng,fucking,'fʌkɪŋ,facking,'fɑkɪŋ,substitution,loan-vandijk-toename p.25,/ʌ/ > /ɑ/
eng,bubble,'bʌbl,bubbling,bʏblɪŋ,substitution,loan-vandijk-toename p.25,/ʌ/ > /ʏ/ (competing with /ɑ/)
eng,multinationals,'mʌlti'næʃnəlz,multinationals,mʏltinɛʃənəlz,substitution;epenthesis,loan-vandijk-toename p.29,"/ʌ/>/ʏ/, /æ/>/ɛ/, schwa inserted"
eng,to trigger,tu: 'trɪɡə,getriggerd,ɣətrɪɡərd,substitution,loan-vandijk-toename p.29,native participle ge- with /ɣ/; /r/ restored
eng,tattoo,tə'tu:,tattoo,tɑtu:,vowel;stress,loan-vandijk-toename p.24,unstressed /ə/ > full /ɑ/ (spelling)
eng,groupies,'ɡru:piz,groupies,ɡrupiz,length,loan-vandijk-toename p.26,/u:/ > /u/
eng,community,kə'mju:nət̯i,community,kɔmjunɪti,vowel,loan-vandijk-toename p.27,"unstressed /ə/ > /ɔ/ (spelling), length lost"
eng,to check,tu: tʃek,checken,tʃɛkə,vowel,loan-vandijk-toename p.33,"/e/>/ɛ/, -en [ə]"
eng,to push,tu: pʊʃ,pushen,puʃə,vowel,loan-vandijk-toename p.27,/ʊ/ > /u/
eng,to jam,tu: dʒæm,jammen,dʒæmə,none,loan-vandijk-toename p.25,/æ/ retained here (cf. jackpot); score 3
eng,to kick,tu: kɪk,kicken,kɪkə,none,loan-vandijk-toename p.24,only morphology adapted
eng,superman,'su:pəmæn,supermanachtig,'su:pəmænɑχtɪɣ,none,loan-vandijk-toename p.24,native suffix -achtig; /æ/ kept
eng,slow motion,sloʊ 'moʊʃn,slow motion,slo 'moʊʃn,vowel,loan-vandijk-toename p.26,"first /oʊ/>/o/, second kept"
eng,sexy,'seksi,sexy,sɛksi,vowel,loan-vandijk-toename p.26,/e/ > /ɛ/
eng,no way,noʊ weɪ,no way,no weɪ,vowel,loan-vandijk-toename p.31,"/oʊ/>/o/, /eɪ/ kept"
eng,tax,tæks,suikertax,sœykərtæks,none,loan-vandijk-toename p.31,in hybrid compound with native suiker
eng,issue,'ɪʃu:,issue,ɪʃu,length,loan-vandijk-toename p.31,length lost
eng,core business,kɔr 'bɪznɪs,core business,kɔr 'bɪznɪs,none,loan-vandijk-toename p.30,borrowed with source pronunciation (score 2)
fra,admission,,admissie,ɑt.ˈmɪ.si,stress;devoicing;substitution,taalportaal-stress-loanwords §Systematic stress shifts in French loanwords,"donor side is a stress-marked orthographic form, not IPA: `ad.mis.'sion`; final stress > penult; /d/>[t]; -tion > -tie /si/"
fra,allocution,,allocutie,ɑ.lo.ˈky.tsi,stress;substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `al.lo.cu.'tion`; -tion > /tsi/"
fra,ambition,,ambitie,ɑm.ˈbi.tsi,stress;substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `am.bi.'tion`; nasal vowel > /ɑm/"
fra,communion,,communie,kɔ.ˈmy.ni,stress;substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `com.mu.'nion`; Fr /y/ kept as Dutch /y/"
fra,allegorie,,allegorie,ɑ.lə.ɣo.ˈri,none,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `allego'rie`; source final stress kept; /ɣ/ for g"
fra,anarchie,,anarchie,ɑ.nɑr.ˈxi,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `anar'chie`; ch > /x/"
fra,anatomie,,anatomie,ɑ.na.to.ˈmi,none,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `anato'mie`; final stress kept"
fra,energie,,energie,e.nɛr.ˈʒi,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `ener'gie`; Fr /ʒ/ kept (loan phoneme)"
fra,jalousie,,jalousie,ja.lu.'zi,substitution,taalportaal-stress-loanwords §Systematic stress shifts,"donor side is a stress-marked orthographic form, not IPA: `jalou'sie`; Fr /u/ > /u/, s > /z/"
