source_lang,source_form,source_ipa,target_form,target_ipa,process,provenance,note
eng,Lockdown,,ლოკდაუნი,lɔkʼdauni,epenthesis;substitution;vowel,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /k/ -> ejective; /aʊ/ kept as two vowels; final -i; Eng-like /lɔkʰdauni/"
eng,Instagram,,ინსტაგრამი,instʼagrami,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /t/ -> ejective; clusters nst and gr imported intact; Eng-like /instʰagrami/"
eng,Twitter,,ტვიტერი,tʼvitʼɛri,epenthesis;substitution;gemination,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; both /t/ -> ejective; tt degeminated; Eng-like /tʰvitʰɛri/"
eng,Winston,,ვინსტონი,vinstoni,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /w/ -> v (nativized); Eng-like /uinstoni/"
eng,Queen,,ქვინი,kʰvini,epenthesis;substitution;length,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /w/ -> v; /k/ stays ASPIRATE before a labial (no ejective in any token); long /iː/ shortened"
eng,Beatles,,ბიტლზი,bitʼlzi,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /t/ -> ejective; tlz cluster imported intact; Eng-like /bitʰlzi/"
eng,Speaker,,სპიკერი,spʼikʼɛri,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; both stops -> ejective; sp onset intact; Eng-like /spʰikʰɛri/"
eng,Chat,,ჩატი,tʃatʼi,epenthesis;substitution;vowel,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /t/ -> ejective; source prints BOTH variants as Geo-like (typo); Rayfield gives four forms chat-i/chath-i/chet-i/cheth-i"
eng,Like,,ლაიქი,laikʰi,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, labelled Geo-like; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; labels appear swapped vs every other row; Rayfield says the aspirate form is settled and laikʼi is a dog breed"
eng,Mail,,მაილი,maili,epenthesis;vowel,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /eɪ/ -> ai by SPELLING not sound; Eng-like /mɛili/; the nativized variant is orthographic"
eng,Windows,,ვინდოუსი,vindɔusi,epenthesis;substitution;vowel,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /w/ -> v; /oʊ/ -> ou two vowels; Eng-like /uindɔusi/"
eng,Background,,ბექგრაუნდი,bɛkʼgraundi,epenthesis;substitution;vowel,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /k/ -> ejective; kgr and nd clusters intact; /aʊ/ -> au"
eng,Chips,,ჩიპსი,tʃipʼsi,epenthesis;substitution,"gabunia2021 pp.50-51 (Appendix B, Geo-like variant; target_ipa as printed, Mkhedruli target_form DERIVED - Appendix B gives IPA only)","nominative -i = morphological case suffix, NOT phonological epenthesis; /p/ -> ejective; ps cluster intact"
