# Harvested 2026-08-24 from en.wikipedia API prop=langlinks lllang=ka.
# Georgian-Wikipedia article titles corresponding to English-Wikipedia articles for foreign
# proper names and international loanwords. Provenance tag for attested.csv: ka-wiki-title.
# NOT speech data: editorial transliteration practice, often mediated by Russian or English spelling.
en_title,ka_title
Alexander the Great,ალექსანდრე მაკედონელი
Amsterdam,ამსტერდამი
Ankara,ანკარა
Athens,ათენი
Baku,ბაქო
Bank,ბანკი
Barcelona,ბარსელონა
Belfast,ბელფასტი
Berlin,ბერლინი
Bono,ბონო
Bristol,ბრისტოლი
Bruce Springsteen,ბრიუს სპრინგსტინი
Brussels,ბრიუსელი (რეგიონი)
Bucharest,ბუქარესტი
Budapest,ბუდაპეშტი
Cairo,კაირო
Cambridge,კემბრიჯი
Cardiff,კარდიფი
Charlemagne,კარლოს დიდი
Chicago,ჩიკაგო
Christmas,ქრისტეს შობა
Computer,კომპიუტერი
Connacht,კონაქტი
Copenhagen,კოპენჰაგენი
Cork (city),კორკი
Denmark,დანია
Dublin,დუბლინი
Edinburgh,ედინბურგი
Elizabeth II,ელისაბედ II
Elvis Presley,ელვის პრესლი
England,ინგლისი
Enya,ენია
Facebook,Facebook
Finland,ფინეთი
France,საფრანგეთი
Galway,გოლუეი
George Washington,ჯორჯ ვაშინგტონი
Germany,გერმანია
Glasgow,გლაზგო
Google,Google
Hamburg,ჰამბურგი
Harry Potter,ჰარი პოტერი
Helsinki,ჰელსინკი
Iceland,ისლანდია
Internet,ინტერნეტი
Ireland,ირლანდია (კუნძული)
Istanbul,სტამბოლი
James Joyce,ჯეიმზ ჯოისი
Jerusalem,იერუსალიმი
Johann Sebastian Bach,იოჰან სებასტიან ბახი
Joseph Stalin,იოსებ სტალინი
Julius Caesar,იულიუს კეისარი
Kyiv,კიევი
Leinster,ლენსტერი
Limerick,ლიმერიკი
Lisbon,ლისაბონი
Liverpool,ლივერპული
London,ლონდონი
Ludwig van Beethoven,ლუდვიგ ვან ბეთჰოვენი
Madrid,მადრიდი
Manchester,მანჩესტერი
Margaret Thatcher,მარგარეტ ტეტჩერი
Marseille,მარსელი
Melbourne,მელბურნი
Michael Collins (Irish leader),მაიკლ კოლინზი (რევოლუციონერი)
Microsoft,Microsoft
Minsk,მინსკი
Montreal,მონრეალი
Moscow,მოსკოვი
Munich,მიუნხენი
Munster,მანსტერი
Napoleon,ნაპოლეონ ბონაპარტი
Netherlands,ნიდერლანდები
New York City,ნიუ-იორკი
Norway,ნორვეგია
Oscar Wilde,ოსკარ უაილდი
Oslo,ოსლო
Oxford,ოქსფორდი
Paris,პარიზი
Philadelphia,ფილადელფია
Portugal,პორტუგალია
Prague,პრაღა
President,Président (მრავალმნიშვნელოვანი)
Reykjavík,რეიკიავიკი
Rotterdam,როტერდამი
Saint Petersburg,სანქტ-პეტერბურგი
Samuel Beckett,სემიუელ ბეკეტი
San Francisco,სან-ფრანცისკო
Scotland,შოტლანდია
Seamus Heaney,შეიმას ჰინი
Sherlock Holmes,შერლოკ ჰოლმზი
Sinéad O'Connor,შინეიდ ო’კონორი
Spain,ესპანეთი
Star Wars,ვარსკვლავური ომები
Stockholm,სტოკჰოლმი
Sweden,შვედეთი
Switzerland,შვეიცარია
Sydney,სიდნეი
Taxi,ტაქსი
Tehran,თეირანი
Telephone,ტელეფონი
Television,ტელევიზია
Texas,ტეხასი
The Beatles,The Beatles
Toronto,ტორონტო
University,უნივერსიტეტი
Vancouver,ვანკუვერი
Vienna,ვენა
Vladimir Putin,ვლადიმერ პუტინი
W. B. Yeats,უილიამ ბატლერ იეიტსი
Wales,უელსი
Warsaw,ვარშავა
William Shakespeare,უილიამ შექსპირი
Winston Churchill,უინსტონ ჩერჩილი
Wolfgang Amadeus Mozart,ვოლფგანგ ამადეუს მოცარტი
Yerevan,ერევანი
Zurich,ციურიხი
Éamon de Valera,იმონ დე ვალერა
