Ian Maddieson. 2013. Syllable Structure.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
(Available online at http://wals.info/chapter/12, Accessed on 2026-08-25.)

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	2	Moderately complex	-24.0	21.5	Tu	Tu	Phonology
ani	//Ani	2	Moderately complex	-18.9166666667	21.9166666667	Khoe-Kwadi	Khoe-Kwadi	Phonology
abi	Abipón	3	Complex	-29.0	-61.0	Abipon	Guaicuruan	Phonology
abk	Abkhaz	3	Complex	43.0833333333	41.0	Northwest Caucasian	Northwest Caucasian	Phonology
ach	Aché	1	Simple	-25.25	-55.1666666667	Maweti-Guarani	Tupian	Phonology
aco	Acoma	2	Moderately complex	34.9166666667	-107.583333333	Keresan	Keresan	Phonology
agh	Aghem	2	Moderately complex	6.66666666667	10.0	Wide Grassfields	Niger-Congo	Phonology
aht	Ahtna	3	Complex	62.0	-145.0	Athapaskan	Na-Dene	Phonology
aik	Aikaná	2	Moderately complex	-12.6666666667	-60.6666666667	Aikaná	Aikaná	Phonology
ain	Ainu	2	Moderately complex	43.0	143.0	Ainu	Ainu	Phonology
aiz	Aizi	3	Complex	5.25	-4.5	Kru	Niger-Congo	Phonology
akn	Akan	2	Moderately complex	6.5	-1.25	Tano	Niger-Congo	Phonology
akw	Akawaio	2	Moderately complex	6.0	-59.5	Cariban	Cariban	Phonology
ala	Alamblak	3	Complex	-4.66666666667	143.333333333	Sepik Hill	Sepik	Phonology
alw	Alawa	3	Complex	-15.1666666667	134.25	Mara	Mangarrayi-Maran	Phonology
alb	Albanian	3	Complex	41.0	20.0	Albanian	Indo-European	Phonology
aea	Aleut (Eastern)	3	Complex	54.75	-164.0	Aleut	Eskimo-Aleut	Phonology
ald	Alladian	2	Moderately complex	5.16666666667	-4.33333333333	Avikam-Alladian	Niger-Congo	Phonology
ame	Amele	2	Moderately complex	-5.25	145.583333333	Mabuso	Trans-New Guinea	Phonology
amh	Amharic	2	Moderately complex	10.0	38.0	Semitic	Afro-Asiatic	Phonology
amo	Amo	2	Moderately complex	10.3333333333	8.66666666667	Central Kainji	Niger-Congo	Phonology
amu	Amuesha	2	Moderately complex	-10.5	-75.4166666667	Yanesha'	Arawakan	Phonology
amz	Amuzgo	3	Complex	16.8333333333	-98.0	Amuzgoan	Oto-Manguean	Phonology
adk	Andoke	1	Simple	-0.666666666667	-72.0	Andoke	Andoke	Phonology
ant	Angaataha	2	Moderately complex	-7.21666666667	146.25	Angaataha	Trans-New Guinea	Phonology
anc	Angas	3	Complex	9.5	9.5	West Chadic	Afro-Asiatic	Phonology
ao	Ao	2	Moderately complex	26.5833333333	94.6666666667	Central Naga	Sino-Tibetan	Phonology
apu	Apurinã	1	Simple	-9.0	-67.0	Purus	Arawakan	Phonology
arb	Arabela	2	Moderately complex	-2.0	-75.1666666667	Zaparoan	Zaparoan	Phonology
aeg	Arabic (Egyptian)	3	Complex	30.0	31.0	Semitic	Afro-Asiatic	Phonology
ana	Araona	1	Simple	-12.3333333333	-67.75	Tacanan	Pano-Tacanan	Phonology
arp	Arapesh (Mountain)	2	Moderately complex	-3.46666666667	143.166666667	Kombio-Arapesh	Torricelli	Phonology
arc	Archi	3	Complex	42.0	46.8333333333	Lezgic	Nakh-Daghestanian	Phonology
amp	Arrernte (Mparntwe)	2	Moderately complex	-24.0	136.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
asm	Asmat	2	Moderately complex	-5.5	138.5	Asmat-Kamrau Bay	Asmat-Kamrau Bay	Phonology
ava	Avar	3	Complex	42.5	46.5	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
awp	Awa Pit	3	Complex	1.5	-78.25	Barbacoan	Barbacoan	Phonology
awn	Awngi	2	Moderately complex	10.8333333333	36.6666666667	Central Cushitic	Afro-Asiatic	Phonology
aym	Aymara (Central)	2	Moderately complex	-17.0	-69.0	Aymaran	Aymaran	Phonology
aze	Azerbaijani	2	Moderately complex	40.5	48.5	Turkic	Altaic	Phonology
bag	Bagirmi	2	Moderately complex	11.6666666667	16.0	Bongo-Bagirmi	Central Sudanic	Phonology
bai	Bai	2	Moderately complex	26.0	100.0	Macro-Bai	Sino-Tibetan	Phonology
baj	Bajau (Sama)	2	Moderately complex	-4.33333333333	123.0	Sama-Bajaw	Austronesian	Phonology
bki	Bakairí	1	Simple	-14.0	-55.0	Cariban	Cariban	Phonology
bam	Bambara	1	Simple	12.5	-7.5	Western Mande	Mande	Phonology
byu	Bandjalang (Yugumbir)	2	Moderately complex	-27.9166666667	153.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
brd	Bardi	3	Complex	-16.5833333333	122.916666667	Nyulnyulan	Nyulnyulan	Phonology
bsk	Bashkir	3	Complex	53.0	58.0	Turkic	Altaic	Phonology
bsq	Basque	3	Complex	43.0	-3.0	Basque	Basque	Phonology
bkr	Batak (Karo)	2	Moderately complex	3.25	98.25	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
baw	Bawm	2	Moderately complex	22.5	92.25	Kuki-Chin	Sino-Tibetan	Phonology
bee	Beembe	2	Moderately complex	-3.91666666667	14.0833333333	Bantu	Niger-Congo	Phonology
bej	Beja	3	Complex	18.0	36.0	Beja	Afro-Asiatic	Phonology
bco	Bella Coola	3	Complex	52.5	-126.666666667	Bella Coola	Salishan	Phonology
ben	Bengali	3	Complex	24.0	90.0	Indic	Indo-European	Phonology
bma	Berber (Middle Atlas)	3	Complex	33.0	-5.0	Berber	Afro-Asiatic	Phonology
ber	Berta	2	Moderately complex	10.3333333333	34.6666666667	Berta	Berta	Phonology
bir	Birom	2	Moderately complex	9.66666666667	8.83333333333	Benue-Congo Plateau	Niger-Congo	Phonology
bis	Bisa	2	Moderately complex	11.5	-0.5	Eastern Mande	Mande	Phonology
bbf	Bobo Madaré (Northern)	1	Simple	12.4166666666667	-4.3333333333333	Western Mande	Mande	Phonology
bod	Bodo	2	Moderately complex	26.8333333333	92.0	Brahmaputran	Sino-Tibetan	Phonology
brr	Bororo	1	Simple	-16.0	-57.0	Bororoan	Bororoan	Phonology
brh	Brahui	3	Complex	28.5	67.0	Dravidian	Dravidian	Phonology
bra	Brao	3	Complex	14.1666666667	107.5	Bahnaric	Austro-Asiatic	Phonology
bre	Breton	3	Complex	48.0	-3.0	Celtic	Indo-European	Phonology
brw	Bru (Western)	3	Complex	16.75	104.75	Katuic	Austro-Asiatic	Phonology
bul	Bulgarian	3	Complex	42.5	25.0	Slavic	Indo-European	Phonology
bua	Burarra	3	Complex	-12.25	134.583333333	Burarran	Mangrida	Phonology
brm	Burmese	2	Moderately complex	21.0	96.0	Burmese-Lolo	Sino-Tibetan	Phonology
bur	Burushaski	3	Complex	36.5	74.5	Burushaski	Burushaski	Phonology
bet	Bété	2	Moderately complex	6.25	-6.25	Kru	Niger-Congo	Phonology
cac	Cacua	2	Moderately complex	1.08333333333	-70.0	Cacua-Nukak	Cacua-Nukak	Phonology
