"Rob Goedemans, Harry van der Hulst. 2013. Fixed Stress Locations."
"In: Dryer, Matthew S. & Haspelmath, Martin (eds.)"
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
"(Available online at http://wals.info/chapter/14, Accessed on 2026-08-25.)"
""
wals code,name,value,description,latitude,longitude,genus,family,area
abk,Abkhaz,1,No fixed stress,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Phonology
ace,Acehnese,7,Ultimate,5.5,95.5,Malayo-Sumbawan,Austronesian,Phonology
acg,Achagua,2,Initial,4.41666666667,-72.25,Japura-Colombia,Arawakan,Phonology
agu,Aguacatec,1,No fixed stress,15.4166666667,-91.3333333333,Mayan,Mayan,Phonology
akl,Aklanon,1,No fixed stress,11.5833333333,122.333333333,Greater Central Philippine,Austronesian,Phonology
ala,Alamblak,1,No fixed stress,-4.66666666667,143.333333333,Sepik Hill,Sepik,Phonology
alw,Alawa,6,Penultimate,-15.1666666667,134.25,Mara,Mangarrayi-Maran,Phonology
aln,Alune,6,Penultimate,-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,Phonology
atq,Alutiiq,1,No fixed stress,57.0,-157.0,Eskimo,Eskimo-Aleut,Phonology
aly,Alyawarra,3,Second,-22.5,135.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
ame,Amele,1,No fixed stress,-5.25,145.583333333,Mabuso,Trans-New Guinea,Phonology
agt,Anguthimri,2,Initial,-12.3333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
apu,Apurinã,1,No fixed stress,-9.0,-67.0,Purus,Arawakan,Phonology
ahs,Arabic (Bani-Hassan),1,No fixed stress,20.0,-10.0,Semitic,Afro-Asiatic,Phonology
abe,Arabic (Beirut),1,No fixed stress,33.9166666667,35.5,Semitic,Afro-Asiatic,Phonology
ael,Arabic (Eastern Libyan),1,No fixed stress,32.0,22.0,Semitic,Afro-Asiatic,Phonology
aeg,Arabic (Egyptian),1,No fixed stress,30.0,31.0,Semitic,Afro-Asiatic,Phonology
arg,Arabic (Gulf),1,No fixed stress,26.0,49.0,Semitic,Afro-Asiatic,Phonology
arh,Arabic (Hijazi),1,No fixed stress,26.0,38.0,Semitic,Afro-Asiatic,Phonology
arl,Arabic (Lebanese),1,No fixed stress,34.0,36.0,Semitic,Afro-Asiatic,Phonology
arv,Arabic (Negev),1,No fixed stress,30.5,34.75,Semitic,Afro-Asiatic,Phonology
apa,Arabic (Palestinian),1,No fixed stress,32.0,35.25,Semitic,Afro-Asiatic,Phonology
asy,Arabic (Syrian),1,No fixed stress,34.0,38.0,Semitic,Afro-Asiatic,Phonology
atb,Aralle-Tabulahan,6,Penultimate,-2.75,119.25,South Sulawesi,Austronesian,Phonology
ana,Araona,3,Second,-12.3333333333,-67.75,Tacanan,Pano-Tacanan,Phonology
arp,Arapesh (Mountain),6,Penultimate,-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,1,No fixed stress,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),1,No fixed stress,40.0,45.0,Armenian,Indo-European,Phonology
aro,Arosi,2,Initial,-10.25,161.333333333,Oceanic,Austronesian,Phonology
awe,Arrernte (Western),3,Second,-24.0,132.5,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,7,Ultimate,-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Phonology
au,Au,1,No fixed stress,-3.58333333333,142.083333333,Central Wapei,Torricelli,Phonology
ava,Avar,1,No fixed stress,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awd,Awadhi,1,No fixed stress,27.5,81.5,Indic,Indo-European,Phonology
awt,Awtuw,6,Penultimate,-3.58333333333,142.0,Ram,Sepik,Phonology
aym,Aymara (Central),6,Penultimate,-17.0,-69.0,Aymaran,Aymaran,Phonology
bdm,Badimaya,2,Initial,-27.6666666667,118.0,Western Pama-Nyungan,Pama-Nyungan,Phonology
bag,Bagirmi,7,Ultimate,11.6666666667,16.0,Bongo-Bagirmi,Central Sudanic,Phonology
bgv,Bagvalal,1,No fixed stress,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
blk,Balantak,6,Penultimate,-0.833333333333,123.25,Celebic,Austronesian,Phonology
bal,Balinese,7,Ultimate,-8.33333333333,115.25,Malayo-Sumbawan,Austronesian,Phonology
bbm,Bambam,6,Penultimate,-3.08333333333,119.083333333,South Sulawesi,Austronesian,Phonology
bna,Banawá,1,No fixed stress,-7.0,-65.0,Arauan,Arauan,Phonology
bwa,Bandjalang (Waalubal),1,No fixed stress,-29.0833333333,152.583333333,Southeastern Pama-Nyungan,Pama-Nyungan,Phonology
bgg,Banggai,1,No fixed stress,-1.41666666667,123.166666667,Celebic,Austronesian,Phonology
bnl,Banggarla,5,Antepenultimate,-32.0,137.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
bnt,Bantik,6,Penultimate,1.41666666667,124.75,Sangiric,Austronesian,Phonology
bae,Baré,6,Penultimate,1.0,-67.0,Japura-Colombia,Arawakan,Phonology
bsk,Bashkir,7,Ultimate,53.0,58.0,Turkic,Altaic,Phonology
bqi,Basque (Basaburua and Imoz),1,No fixed stress,43.0,-1.66666666667,Basque,Basque,Phonology
bqb,Basque (Bidasoa Valley),3,Second,43.0,-3.83333333333,Basque,Basque,Phonology
bqg,Basque (Gernica),1,No fixed stress,43.3333333333,-3.0,Basque,Basque,Phonology
bqh,Basque (Hondarribia),1,No fixed stress,42.5,-3.0,Basque,Basque,Phonology
bql,Basque (Lekeitio),6,Penultimate,43.0,-2.5,Basque,Basque,Phonology
bqn,Basque (Northern High Navarrese),6,Penultimate,43.3333333333,-2.5,Basque,Basque,Phonology
