"Rob Goedemans, Harry van der Hulst. 2013. Weight-Sensitive Stress."
"In: Dryer, Matthew S. & Haspelmath, Martin (eds.)"
WALS Online (v2020.4) [Data set]. Zenodo.
https://doi.org/10.5281/zenodo.13950591
"(Available online at http://wals.info/chapter/15, Accessed on 2026-08-25.)"
""
wals code,name,value,description,latitude,longitude,genus,family,area
abk,Abkhaz,7,Not predictable,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,Phonology
ace,Acehnese,8,Fixed stress (no weight-sensitivity),5.5,95.5,Malayo-Sumbawan,Austronesian,Phonology
acg,Achagua,8,Fixed stress (no weight-sensitivity),4.41666666667,-72.25,Japura-Colombia,Arawakan,Phonology
agu,Aguacatec,5,Unbounded: Stress can be anywhere,15.4166666667,-91.3333333333,Mayan,Mayan,Phonology
akl,Aklanon,3,Right-edge: Ultimate or penultimate,11.5833333333,122.333333333,Greater Central Philippine,Austronesian,Phonology
ala,Alamblak,6,Combined: Right-edge and unbounded,-4.66666666667,143.333333333,Sepik Hill,Sepik,Phonology
alw,Alawa,8,Fixed stress (no weight-sensitivity),-15.1666666667,134.25,Mara,Mangarrayi-Maran,Phonology
aln,Alune,8,Fixed stress (no weight-sensitivity),-3.0,128.333333333,Central Malayo-Polynesian,Austronesian,Phonology
atq,Alutiiq,1,Left-edge: First or second,57.0,-157.0,Eskimo,Eskimo-Aleut,Phonology
aly,Alyawarra,8,Fixed stress (no weight-sensitivity),-22.5,135.0,Central Pama-Nyungan,Pama-Nyungan,Phonology
ame,Amele,5,Unbounded: Stress can be anywhere,-5.25,145.583333333,Mabuso,Trans-New Guinea,Phonology
agt,Anguthimri,8,Fixed stress (no weight-sensitivity),-12.3333333333,141.833333333,Northern Pama-Nyungan,Pama-Nyungan,Phonology
apu,Apurinã,3,Right-edge: Ultimate or penultimate,-9.0,-67.0,Purus,Arawakan,Phonology
ahs,Arabic (Bani-Hassan),5,Unbounded: Stress can be anywhere,20.0,-10.0,Semitic,Afro-Asiatic,Phonology
abe,Arabic (Beirut),4,Right-oriented: One of the last three,33.9166666667,35.5,Semitic,Afro-Asiatic,Phonology
ael,Arabic (Eastern Libyan),4,Right-oriented: One of the last three,32.0,22.0,Semitic,Afro-Asiatic,Phonology
aeg,Arabic (Egyptian),4,Right-oriented: One of the last three,30.0,31.0,Semitic,Afro-Asiatic,Phonology
arg,Arabic (Gulf),3,Right-edge: Ultimate or penultimate,26.0,49.0,Semitic,Afro-Asiatic,Phonology
arh,Arabic (Hijazi),4,Right-oriented: One of the last three,26.0,38.0,Semitic,Afro-Asiatic,Phonology
arl,Arabic (Lebanese),4,Right-oriented: One of the last three,34.0,36.0,Semitic,Afro-Asiatic,Phonology
arv,Arabic (Negev),6,Combined: Right-edge and unbounded,30.5,34.75,Semitic,Afro-Asiatic,Phonology
apa,Arabic (Palestinian),4,Right-oriented: One of the last three,32.0,35.25,Semitic,Afro-Asiatic,Phonology
asy,Arabic (Syrian),4,Right-oriented: One of the last three,34.0,38.0,Semitic,Afro-Asiatic,Phonology
atb,Aralle-Tabulahan,8,Fixed stress (no weight-sensitivity),-2.75,119.25,South Sulawesi,Austronesian,Phonology
ana,Araona,8,Fixed stress (no weight-sensitivity),-12.3333333333,-67.75,Tacanan,Pano-Tacanan,Phonology
arp,Arapesh (Mountain),8,Fixed stress (no weight-sensitivity),-3.46666666667,143.166666667,Kombio-Arapesh,Torricelli,Phonology
arc,Archi,1,Left-edge: First or second,42.0,46.8333333333,Lezgic,Nakh-Daghestanian,Phonology
arm,Armenian (Eastern),5,Unbounded: Stress can be anywhere,40.0,45.0,Armenian,Indo-European,Phonology
aro,Arosi,8,Fixed stress (no weight-sensitivity),-10.25,161.333333333,Oceanic,Austronesian,Phonology
awe,Arrernte (Western),8,Fixed stress (no weight-sensitivity),-24.0,132.5,Central Pama-Nyungan,Pama-Nyungan,Phonology
asm,Asmat,8,Fixed stress (no weight-sensitivity),-5.5,138.5,Asmat-Kamrau Bay,Asmat-Kamrau Bay,Phonology
au,Au,5,Unbounded: Stress can be anywhere,-3.58333333333,142.083333333,Central Wapei,Torricelli,Phonology
ava,Avar,1,Left-edge: First or second,42.5,46.5,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
awd,Awadhi,3,Right-edge: Ultimate or penultimate,27.5,81.5,Indic,Indo-European,Phonology
awt,Awtuw,8,Fixed stress (no weight-sensitivity),-3.58333333333,142.0,Ram,Sepik,Phonology
aym,Aymara (Central),8,Fixed stress (no weight-sensitivity),-17.0,-69.0,Aymaran,Aymaran,Phonology
bdm,Badimaya,8,Fixed stress (no weight-sensitivity),-27.6666666667,118.0,Western Pama-Nyungan,Pama-Nyungan,Phonology
bag,Bagirmi,8,Fixed stress (no weight-sensitivity),11.6666666667,16.0,Bongo-Bagirmi,Central Sudanic,Phonology
bgv,Bagvalal,3,Right-edge: Ultimate or penultimate,42.5833333333,46.1666666667,Avar-Andic-Tsezic,Nakh-Daghestanian,Phonology
blk,Balantak,8,Fixed stress (no weight-sensitivity),-0.833333333333,123.25,Celebic,Austronesian,Phonology
