ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Loan,Graphemes,Profile,Word_ID,original_script,comment_on_word_form,Borrowed,Borrowed_score,comment_on_borrowed,borrowed_base,loan_history,Analyzability,gloss,Simplicity_score,reference,relative_frequency,numeric_frequency,Age,Age_score,integration,salience,effect,register,contact_situation,calqued,grammatical_info,colonial_word,etymological_note,lexical_stratum,word_source
Dutch-1-1-1,5372,Dutch,1-1,wereld,wereld,ʋ eː r ə l t,,12,false,^wereld$,Dutch,72181920638650235,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-21-1,5373,Dutch,1-21,land,land,l ɑ n t,,12,false,^land$,Dutch,72181920189967087,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1200,1.0,,,,,,,noun,,,,
Dutch-1-212-1,5374,Dutch,1-212,bodem,bodem,b oː d ə m,,12,false,^bodem$,Dutch,72181920781775959,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1260-1280,1.0,,,,,,,noun,,,,
Dutch-1-213-1,5375,Dutch,1-213,stof (1),stof,s t ɔ f,,12,false,^stof$,Dutch,72181920148349588,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-214-1,5376,Dutch,1-214,modder,modder,m ɔ d ə r,,12,false,^modder$,Dutch,72181920932085874,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1287,1.0,,,,,,,noun,,,,
Dutch-1-215-1,5377,Dutch,1-215,zand,zand,z ɑ n t,,12,false,^zand$,Dutch,72181920700791591,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0893,1.0,,,,,,,noun,,,,
Dutch-1-22-1,5378,Dutch,1-22,berg,berg,b ɛ r x,,12,false,^berg$,Dutch,72181920121058476,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0865,1.0,,,,,,,noun,,,,
Dutch-1-22-2,5379,Dutch,1-22,heuvel,heuvel,h øː v ə l,,12,false,^heuvel$,Dutch,72181920489408821,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-222-1,5380,Dutch,1-222,klif,klif,k l ɪ f,,12,false,^klif$,Dutch,72181920764082778,,,5. no evidence for borrowing,0.0,According to some Indo-Europeanists Germanic words beginning with kl- and kn- are loaned from a subrate language; the debate on the substrate issue in Germanic has just been started and opinions differ. I have ignored the question for now and I haven’t assigned any words the indiaction: loaned from a substrate language - we just do not know for the moment.,,,unanalyzable,,1.0,EWB 1997,,,1476-1500,1.0,,,,,,,noun,,,,
Dutch-1-23-1,5381,Dutch,1-23,vlakte,vlakte,v l ɑ k t ə,,12,false,^vlakte$,Dutch,72181920415437984,,,5. no evidence for borrowing,0.0,,,,analyzable derived,vlak-te [flat-NMLZ],0.5,WNT,,,1637,0.9,,,,,,,noun,,,,
Dutch-1-24-1,5382,Dutch,1-24,vallei,vallei,v ɑ l ɛi,,12,true,^vallei$,Dutch,7218192031505143,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1330,1.0,1. Highly integrated,present in pre-contact environment,Coexistence,,French cultural influence [12],,noun,,,,
Dutch-1-24-2,5383,Dutch,1-24,dal,dal,d ɑ l,,12,false,^dal$,Dutch,72181920325500396,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0856,1.0,,,,,,,noun,,,,
Dutch-1-25-1,5384,Dutch,1-25,eiland,eiland,ɛi l ɑ n t,,12,true,^eiland$,Dutch,72181920833072587,,,1. clearly borrowed,1.0,,,,semi-analyzable,ei-land [?-land],0.75,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1240,1.0,1. Highly integrated,present in pre-contact environment,,,Old Frisian influence [12],,noun,,,,
Dutch-1-26-1,5385,Dutch,1-26,vasteland,vasteland,v ɑ s t ə l ɑ n t,,12,false,^vasteland$,Dutch,72181920968877708,,,5. no evidence for borrowing,0.0,,,,analyzable compound,vaste-land [firm-land],0.5,WNT,,,1580,0.9,1. Highly integrated,present only since contact,Insertion,,High German influence [12],4. Clearly calqued,noun,,,,
Dutch-1-27-1,5386,Dutch,1-27,oever,oever,uː v ə r,,12,false,^oever$,Dutch,72181920442858156,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1287,1.0,,,,,,,noun,,,,
Dutch-1-28-1,5387,Dutch,1-28,grot,grot,x r ɔ t,,12,true,^grot$,Dutch,72181920344789019,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1600,0.9,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
Dutch-1-31-1,5388,Dutch,1-31,water,water,ʋ aː t ə r,,12,false,^water$,Dutch,72181920580604126,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0901-1000,1.0,,,,,,,noun,,,,
Dutch-1-32-1,5389,Dutch,1-32,zee,zee,z eː,,12,false,^zee$,Dutch,72181920499158014,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,0793,1.0,,,,,,,noun,,,,
Dutch-1-322-1,5390,Dutch,1-322,kalm,kalm,k ɑ l m,,12,true,^kalm$,Dutch,72181920878218931,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1568,0.9,1. Highly integrated,present in pre-contact environment,Coexistence,,French cultural influence [12],,adjective,,,,
Dutch-1-322-2,5391,Dutch,1-322,rustig,rustig,r ʏ s t ə x,,12,false,^rustig$,Dutch,7424613898751702,,,5. no evidence for borrowing,0.0,,,,analyzable derived,rust-ig [rest-ADJ],0.5,EWB 1997,,,1745,0.9,,,,,,,adjective,,,,
Dutch-1-323-1,5392,Dutch,1-323,ruw,ruw,r yː ʋ,,12,false,^ruw$,Dutch,72181920557155350,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1199,1.0,,,,,,,adjective,,,,
Dutch-1-324-1,5393,Dutch,1-324,schuim,schuim,s x œy m,,12,false,^schuim$,Dutch,72181920572759556,,,5. no evidence for borrowing,0.0,,,,unanalyzable,,1.0,EWB 1997,,,1240,1.0,,,,,,,noun,,,,
Dutch-1-329-1,5394,Dutch,1-329,oceaan,oceaan,oː s eː j aː n,,12,true,^oceaan$,Dutch,72181920696029275,,,1. clearly borrowed,1.0,,,,unanalyzable,,1.0,"Van der Sijs, Leenwoordenboek 2005; EWB 1997",,,1595,0.9,1. Highly integrated,present only since contact,Insertion,,French cultural influence [12],,noun,,,,
