target_form,target_ipa,source_word,source_languoid,source_meaning,source_relation,source_certain,concept,age,borrowed,form_id
zilver,z ɪ l v ə r,arpu,Akkadian,zilver,immediate,yes,the silver,0901-1000,1. clearly borrowed,Dutch-9-65-1
bok,b ɔ k,*bukko-,Celtic,bok,immediate,yes,the he-goat,0901-1000,3. perhaps borrowed,Dutch-3-37-1
eed,eː t,*oit,Celtic,eed,immediate,yes,the oath,1236,3. perhaps borrowed,Dutch-21-25-1
ijzer,ɛi z ə r,*īsarno-,Celtic,ijzer,immediate,yes,the iron,1220-1240,1. clearly borrowed,Dutch-9-67-1
lood,l oː t,*loudiom,Celtic,lood,immediate,yes,the lead,1240,1. clearly borrowed,Dutch-9-68-1
rijk,r ɛi k,*riks,Celtic,state,immediate,yes,rich,0901-1000,1. clearly borrowed,Dutch-11-51-1
alligator,ɑ l iː ɣ aː t ɔ r,alligator,English,alligator,immediate,yes,the crocodile or alligator,1734,1. clearly borrowed,Dutch-3-97-1
auto,ɑu t oː,auto(mobile),English,auto,immediate,yes,the car,1899,1. clearly borrowed,Dutch-23-14-1
baby,b eː b iː,baby,English,baby,immediate,yes,the baby,1875,1. clearly borrowed,Dutch-2-28-1
banyan,b ɑ n j a n,banyan,English,banyan,immediate,yes,the banyan,1951-2000,1. clearly borrowed,Dutch-8-85-1
boemerang,b uː m ə r ɑ ŋ,boomerang,English,the boomerang,immediate,yes,the boomerang,1889,1. clearly borrowed,Dutch-9-87-1
boot,b oː t,boat,English,boot,immediate,yes,the boat,1390,3. perhaps borrowed,Dutch-10-83-1
bus,b ʏ s,bus,English,bus,immediate,yes,the bus,1887,1. clearly borrowed,Dutch-23-15-1
film,f ɪ l m,film,English,film,immediate,yes,the film/movie,1912,1. clearly borrowed,Dutch-23-62-1
jaguar,j aː g uː ʋ ɑ r,jaguar,English,jaguar,immediate,yes,the jaguar,1770,1. clearly borrowed,Dutch-3-9-1
kangoeroe,k ɑ ŋ ɣ uː r uː,kangaroo,English,kangaroo,immediate,yes,the kangaroo,1774,1. clearly borrowed,Dutch-3-88-1
lasso,l ɑ s oː,lasso,English,lasso,immediate,yes,the lasso,1836,1. clearly borrowed,Dutch-8-29-1
lucifer,l yː s iː f ɛ r,lucifer,English,lucifer,immediate,yes,the match,1847,1. clearly borrowed,Dutch-1-87-1
lunch,l ʏ n ʃ,lunch,English,lunch,immediate,yes,the lunch,1855,1. clearly borrowed,Dutch-5-43-1
opossum,oː p ɔ s ʏ m,opossum,English,opossum,immediate,yes,the opossum,1662,1. clearly borrowed,Dutch-3-622-1
outrigger,ɑu t r i ɣ ə r,outrigger,English,outrigger,immediate,yes,the outrigger,1950,1. clearly borrowed,Dutch-10-832-1
peddel,p ɛ d ə l,paddle,English,paddle,immediate,yes,the paddle,1855,1. clearly borrowed,Dutch-10-851-1
