source_lang	source_form	source_ipa	target_form	target_ipa	process	provenance	note	layer
eng	bluff		palff		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	bevel		peval		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-; N. Wales (Carns.)	historical
eng	bit		pit		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-; N. Wales (Carns.)	historical
eng	bitch		pitsh		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-; N. Wales (Carns.)	historical
eng	blackguard		plagiard		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-; N. Wales (Carns.)	historical
eng	blanket		planced		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-; also plancad	historical
eng	block		ploc		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	bottle		potel		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	bureau		piwro		devoicing	parry1923 p.219 §78	NE; initial provection b- > p-	historical
eng	bold		powld		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	bolt		powltan		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	bank		ponc		devoicing	parry1923 p.219 §78	ME/NE; initial provection b- > p-	historical
eng	dazzle		taslio		devoicing	parry1923 p.219 §78	ME/NE; initial provection d- > t-; N. Wales (Carns.)	historical
eng	destiny		tesni		devoicing	parry1923 p.219 §78	ME/NE; initial provection d- > t-	historical
eng	dite, endite		titio		devoicing	parry1923 p.219 §78	ME/NE; initial provection d- > t-	historical
eng	drop		tropio		devoicing	parry1923 p.219 §78	ME/NE; initial provection d- > t-; form from WS (1547)	historical
eng	draught		tracht		devoicing	parry1923 p.219 §78	ME/NE; initial provection d- > t-; beside dracht	historical
eng	damp		tamp		devoicing	parry1923 p.220 §78	NE; initial provection d- > t-; N. Wales (Carns. dial.)	historical
eng	dip		tip		devoicing	parry1923 p.220 §78	NE; initial provection d- > t-; N. Wales (Carns. dial.), of sheep	historical
eng	dragoons		tragwns		devoicing	parry1923 p.220 §78	NE; initial provection d- > t-; S. Wales (S. Cards.)	historical
eng	gear		cer		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-	historical
eng	gang		ciang		devoicing	parry1923 p.220 §78	NE; initial provection g- > c-; N. Wales (Carns.)	historical
eng	goblin		coblyn		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-	historical
eng	grab		crab		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-	historical
eng	grand		crand		devoicing	parry1923 p.220 §78	NE; initial provection g- > c-; N. Wales (Carns.); usual NW form, cf. yn grand	historical
eng	gooseberries		cwsberins		devoicing	parry1923 p.220 §78	NE; initial provection g- > c-; N. Wales (Carns.)	historical
eng	gusset		cwysed		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-; form in WS	historical
eng	gutter		cwter		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-	historical
eng	goloshes		closhwns		devoicing	parry1923 p.220 §78	NE; initial provection g- > c-	historical
eng	garrison		carsiwn		devoicing	parry1923 p.220 §78	ME/NE; initial provection g- > c-; beside garsiwn	historical
eng	posy		bwysi		substitution	parry1923 p.220 §79	ME/NE; initial voicing p- > b-; beside pwysi	historical
eng	prologue		brolog		substitution	parry1923 p.220 §79	ME/NE; initial voicing p- > b-; sense 'nonsense'	historical
eng	potatoes		bwytatwys		substitution	parry1923 p.220 §79	NE; initial voicing p- > b-; ? influence of bwyta 'to eat'	historical
eng	parley		barli		substitution	parry1923 p.220 §79	NE; initial voicing p- > b-; N. Wales (Carns.), beside parli	historical
eng	carrots		garetsh		substitution	parry1923 p.220 §79	NE; initial voicing c- > g-; S. Wales (Dem. Dial.)	historical
eng	croft		grofft		substitution	parry1923 p.220 §79	ME/NE; initial voicing c- > g-	historical
eng	crowd		growd		substitution	parry1923 p.220 §79	ME/NE; initial voicing c- > g-	historical
eng	knave		cnaf		none	parry1923 p.221 §80	ME; E kn- retained as W cn-	historical
eng	knap		cnap		none	parry1923 p.221 §80	ME; E kn- retained as W cn-	historical
eng	knock		cnoc, cnocio		none	parry1923 p.221 §80	ME; E kn- retained as W cn-	historical
eng	knot		cnot		none	parry1923 p.221 §80	ME; E kn- retained as W cn-	historical
eng	knob		cnwpa		none	parry1923 p.221 §80	ME; E kn- retained as W cn- (with medial provection)	historical
eng	honest		gonest		epenthesis	parry1923 p.221 §81	ME/NE; prosthetic g- before initial vowel; cf. onest	historical
eng	yield		gildio		epenthesis	parry1923 p.221 §81	ME/NE; consonantal i lost, then prosthetic g-; beside ildio	historical
eng	order		gordro		epenthesis	parry1923 p.221 §81	ME/NE; prosthetic g- before initial vowel	historical
eng	guard		giard		glide	parry1923 p.221 §81a	NE (late C18-early C19 E front glide); N. Wales (Carns. dial.)	historical
eng	gate		giat		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.)	historical
eng	gaffer		giaffar		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.)	historical
eng	gammocks		giamocs		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.); cf. ciamocs	historical
eng	gammy		giami		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.)	historical
eng	game		giam		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.)	historical
eng	guide		giaid		glide	parry1923 p.221 §81a	NE; front glide after g-; N. Wales (Carns. dial.)	historical
eng	quarrel (ME cuarel)		cwarel		none	parry1923 p.221 §82	ME; qu- retained as cw-	historical
eng	querel		cweryl		none	parry1923 p.221 §82	ME; qu- retained as cw-, 'quarrel'	historical
eng	quart		cwart		none	parry1923 p.221 §82	ME; qu- retained as cw-	historical
eng	quarter		cwarter		none	parry1923 p.221 §82	ME; qu- retained as cw-	historical
eng	question		cwestiwn		none	parry1923 p.221 §82	ME/NE; qu- retained as cw-	historical
eng	quaver		cwafar		none	parry1923 p.222 §82	NE; qu- retained as cw-; form in FC	historical
eng	quills		cwils		none	parry1923 p.222 §82	NE; qu- retained as cw-; form in FC	historical
eng	quails		chwails		substitution	parry1923 p.222 §82	ME/NE; qu- > chw- (initial cw- foreign to W, chw- common)	historical
eng	quarrel, quarry		chwarel		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	quart		chwart		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	quarter		chwarter		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	quintain		chwintan		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	acquittance		chwitans		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	quit		chwitio		substitution	parry1923 p.222 §82	ME/NE; qu- > chw-	historical
eng	velvet		felfed		none	parry1923 p.222 §83	ME/NE; E initial v- retained as W f- (=/v/)	historical
eng	vicar		ficar		none	parry1923 p.222 §83	ME/NE; E initial v- retained as W f-	historical
eng	venison		fenswn		none	parry1923 p.222 §83	ME/NE; E initial v- retained as W f-	historical
eng	violet		fioled		none	parry1923 p.222 §83	ME/NE; E initial v- retained as W f-	historical
eng	vervain		berfaen		substitution	parry1923 p.222 §83	ME/NE; v- > b-, as if f- were soft mutation of b-	historical
eng	varnish		bernais		substitution	parry1923 p.222 §83	ME/NE; v- > b-; also barnais	historical
eng	vicar		bicar		substitution	parry1923 p.222 §83	ME/NE; v- > b-; also bicer	historical
eng	victuals		bitel		substitution	parry1923 p.222 §83	ME/NE; v- > b-	historical
eng	villein		bilain		substitution	parry1923 p.222 §83	ME/NE; v- > b-	historical
eng	vernicle		bernagl		substitution	parry1923 p.222 §83	ME/NE; v- > b-	historical
eng	vex		becsio		substitution	parry1923 p.222 §83	NE; v- > b-; form in FC	historical
eng	(ad)vantage		mantais		substitution	parry1923 p.222 §83	ME/NE; v- > m-, as if f- were soft mutation of m-	historical
eng	velvet		melfed		substitution	parry1923 p.222 §83	ME/NE; v- > m-	historical
eng	vizor		miswrn		substitution	parry1923 p.222 §83	ME/NE; v- > m-	historical
eng	vicar		micar		substitution	parry1923 p.222 §83	ME/NE; v- > m-	historical
eng	virgin		mursen		substitution	parry1923 p.222 §83	ME/NE; v- > m-	historical
eng	scarlet		ysgarlat		epenthesis	parry1923 p.223 §84	ME/NE; prosthetic y- before s+stop; 'in colloquial speech this prosthetic y is hardly ever pronounced unless the accent falls on it'	historical
eng	steward		ystiwart		epenthesis	parry1923 p.223 §84	ME/NE; prosthetic y- before s+stop	historical
eng	instrument		ysturmant		epenthesis	parry1923 p.223 §84	ME/NE; prosthetic y- before s+stop (with metathesis)	historical
eng	standard		ystondardd		epenthesis	parry1923 p.223 §84	ME/NE; prosthetic y- before s+stop	historical
eng	chives, cives		seifys		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	cypress		seiprys		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	cellar		seler		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	cingles		singlys		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	civil		sifil		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	cinder(s)		sindir		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	cipher		seiffro		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W	historical
eng	certain		sertein		substitution	parry1923 p.223 §85	ME/NE; E c (=s) written s in W; also serten	historical
eng	slander (ME sclaundre)		ysglandr		epenthesis	parry1923 p.225 §86	ME; sc- kept, prosthetic y-; also sclandr	historical
eng	slate(s) (ME slat, sclat)		ysglatys		epenthesis	parry1923 p.225 §86	ME; sc- kept, prosthetic y-	historical
eng	slant		sglont		none	parry1923 p.225 §86	ME/NE; sc- kept as sg-	historical
eng	slide		sglefr, sglefrio		none	parry1923 p.225 §86	NE; sc- kept as sg-; cf. Scot. sclither	historical
eng	slush		sglwtsh		none	parry1923 p.225 §86	NE; sc- kept as sg-; cf. Scot. sklush	historical
eng	slice (ME sclice)		ysglisen		epenthesis	parry1923 p.225 §86	ME; sc- kept, prosthetic y-	historical
eng	sharp (ME scharp)		siarp		substitution	parry1923 p.225 §86	ME; E sh- represented by W si-	historical
eng	shire (ME shire, schire)		sir		substitution	parry1923 p.225 §86	ME; E sh- > W si-; pronounced shir or sir	historical
eng	shop (ME schoppe)		siop		substitution	parry1923 p.225 §86	ME; E sh- > W si-	historical
eng	Cheap(side) (ME chepe)		Sieb		substitution	parry1923 p.225 §87	ME; E ch- (=tsh) > W si-, no trace of the dental stop	historical
eng	chalk (ME chalk)		sialc		substitution	parry1923 p.226 §87	ME; E ch- (=tsh) > W si-	historical
eng	churl (ME churle)		siwrl		substitution	parry1923 p.226 §87	ME; E ch- (=tsh) > W si-	historical
eng	chimes (ME/OF chimbes)		seims		substitution	parry1923 p.226 §87	ME; E ch- > W si-, s before i	historical
eng	chamber (OF chamberlen)		siambr		substitution	parry1923 p.226 §87	ME; E ch- > W si-	historical
eng	Charles		Siarls		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	charge		siars		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	chequer		siecr		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	chase (ME/OF chace)		sias		substitution	parry1923 p.226 §87	ME; E ch- > W si-	historical
eng	chattel (OF chatel)		siatal		substitution	parry1923 p.226 §87	ME; E ch- > W si-	historical
eng	chance		siawns		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	chimney		simnai		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-, s before i	historical
eng	chancellor		siawnsler		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-; spelt jaonsler in RBB	historical
eng	chief		siff		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	cheer		sir		substitution	parry1923 p.226 §87	ME/NE; E ch- > W si-	historical
eng	ginger		sinsir		substitution	parry1923 p.227 §88	ME/NE; E j/g (=dzh) > si-, becoming s before i; WS transcribes E as tsintsir	historical
eng	gin		sin		substitution	parry1923 p.227 §88	ME/NE; E g (=dzh) > s before i	historical
eng	gipsies		sipsiwn		substitution	parry1923 p.227 §88	ME/NE; E g (=dzh) > s before i	historical
eng	gibbet		sibed		substitution	parry1923 p.227 §88	ME/NE; E g (=dzh) > s before i; cf. shibedu Dem. Dial. (S. Wales)	historical
eng	Jude		Sud		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > s before u	historical
eng	Jack		Siac		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-	historical
eng	jacket		siaced		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-	historical
eng	jerkin		sirken		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-; also syrkyn	historical
eng	jewels		siwcls		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-; sing. siwelyn	historical
eng	journey		siwrnai		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-	historical
eng	George		Siors		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-	historical
eng	John		Sion		substitution	parry1923 p.227 §88	ME/NE; E j (=dzh) > W si-; WS transcribes E as tsion	historical
eng	jug		shwc		substitution	parry1923 p.227 §88	NE; E j > sh-; S. Wales (S. Cards.)	historical
eng	welt		gwalt		epenthesis	parry1923 p.228 §89	ME/NE; E initial w- > W gw- (w- foreign to W as radical)	historical
eng	warrant		gwarant		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-; ? possibly direct from OF gu-	historical
eng	warden		gwarden		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-	historical
eng	wardrobe		gwardrob		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-	historical
eng	wassail		gwasel		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-; beside wasael	historical
eng	wethers		gwedrod		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-	historical
eng	Windsor		Gwinsor		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-; cf. Winsawr LGC	historical
eng	wait		gwaetio		epenthesis	parry1923 p.228 §89	ME/NE; E w- > gw-	historical
eng	wire		weir		none	parry1923 p.228 §89	NE; later borrowing, initial w- kept	historical
eng	witchcraft		wiscreft		none	parry1923 p.228 §89	ME/NE; initial w- kept	historical
eng	watch		waets, waits		none	parry1923 p.228 §89	ME/NE; initial w- kept	historical
eng	witch		wits		none	parry1923 p.228 §89	ME/NE; initial w- kept	historical
eng	wiles		weils		none	parry1923 p.228 §89	ME/NE; initial w- kept	historical
eng	wood-knife		wdcneiff		deletion	parry1923 p.228 §89	ME/NE; w- lost before rounded vowel	historical
eng	woodruff		wdrot		deletion	parry1923 p.228 §89	ME/NE; w- lost before rounded vowel	historical
eng	woodward		wtwart		deletion	parry1923 p.228 §89	ME/NE; w- lost before rounded vowel	historical
eng	worsted		wstyd		deletion	parry1923 p.228 §89	ME/NE; w- lost before rounded vowel	historical
eng	whelks		chwalcys		substitution	parry1923 p.230 §90	ME/NE; E wh- (hw) > W chw-	historical
eng	whap		chwap		substitution	parry1923 p.230 §90	ME/NE; E wh- > W chw-	historical
eng	wharf		chwarfan		substitution	parry1923 p.230 §90	ME/NE; E wh- > W chw-	historical
eng	whiff		chwiff		substitution	parry1923 p.230 §90	NE; E wh- > W chw-; form in FC	historical
eng	whitewash		chweitwasio		substitution	parry1923 p.230 §90	NE; E wh- > W chw-; form in FC	historical
eng	whim		chwim		substitution	parry1923 p.230 §90	ME/NE; E wh- > W chw-; also chwimp	historical
eng	whip		chwip, chwipio		substitution	parry1923 p.230 §90	ME/NE; E wh- > W chw-	historical
eng	whirligig		chwrligwgon		substitution	parry1923 p.230 §90	NE; E wh- > W chw-	historical
eng	whistle		chwislo		substitution	parry1923 p.230 §90	NE; E wh- > W chw-; form in FC	historical
eng	Whitney		Chwitnai		substitution	parry1923 p.230 §90	ME/NE; E wh- > W chw-	historical
